PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
00AA012B,Initial/Latest kWh 0 / 25.7590,Normal,Last Reading: 25.7590 - 11/23/2022 9:58:47 AM,11/25/2022 4:41:42 PM,Connected,Magno Grid - E212,01.00.03
00AA0139,Initial/Latest kWh 0 / 38.3660,Normal,Last Reading: 38.3660 - 11/23/2022 2:58:47 PM,11/25/2022 4:39:45 PM,Connected,Magno Grid - E212,01.00.03
00AA013B,Initial/Latest kWh 0 / 26.1520,Normal,Last Reading: 26.1520 - 11/30/2022 8:36:19 AM,11/30/2022 8:36:41 AM,Connected,Magno Grid - E212,01.00.03
00AA0141,Initial/Latest kWh 0 / 33.6380,Normal,Last Reading: 33.6380 - 11/23/2022 1:16:46 PM,11/25/2022 4:43:22 PM,Connected,Magno Grid - E212,01.00.03
00AA0143,Initial/Latest kWh 0 / 20.7620,Normal,Last Reading: 20.7620 - 11/30/2022 6:01:34 PM,11/30/2022 6:02:26 PM,Connected,Magno Grid - E212,01.00.03
00AA0145,Initial/Latest kWh 0 / 29.9810,Normal,Last Reading: 29.9810 - 11/30/2022 10:43:59 AM,11/30/2022 10:44:19 AM,Connected,Magno Grid - E212,01.00.03
00AA0147,Initial/Latest kWh 0 / 44.4270,Normal,Last Reading: 44.4270 - 11/30/2022 12:22:09 PM,11/30/2022 12:22:30 PM,Connected,Magno Grid - E212,01.00.03
00AA0149,Initial/Latest kWh 0 / 17.6570,Normal,Last Reading: 17.6570 - 11/30/2022 6:34:17 PM,11/30/2022 6:34:45 PM,Connected,Magno Grid - E212,01.00.03
00AA014B,Initial/Latest kWh 0 / 25.40,Normal,Last Reading: 25.4000 - 11/30/2022 11:16:43 AM,11/30/2022 11:17:04 AM,Connected,Magno Grid - E212,01.00.03
00AA014D,Initial/Latest kWh 0 / 15.9590,Normal,Last Reading: 15.9590 - 11/30/2022 2:12:31 PM,11/30/2022 2:12:50 PM,Connected,Magno Grid - E212,01.00.03
00AA014F,Initial/Latest kWh 0 / 20.5870,Normal,Last Reading: 20.5870 - 11/30/2022 5:28:50 PM,11/30/2022 5:29:11 PM,Connected,Magno Grid - E212,01.00.03
00AA0151,Initial/Latest kWh 0 / 41.34,Normal,Last Reading: 41.3400 - 11/23/2022 12:40:45 PM,11/25/2022 4:41:06 PM,Connected,Magno Grid - E212,01.00.03
00AA0153,Initial/Latest kWh 0 / 34.4870,Normal,Last Reading: 34.4870 - 11/30/2022 11:49:26 AM,11/30/2022 11:49:49 AM,Connected,Magno Grid - E212,01.00.03
00AA0155,Initial/Latest kWh 0 / 29.2980,Normal,Last Reading: 29.2980 - 11/30/2022 10:08:21 AM,11/30/2022 10:08:45 AM,Connected,Magno Grid - E212,01.00.03
