PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
00AA0151,Initial/Latest kWh 0 / 41.34,Normal,Last Reading: 41.3400 - 11/23/2022 12:40:45 PM,11/25/2022 4:41:06 PM,Connected,Magno Grid - E212,01.00.03
00AA0153,Initial/Latest kWh 0 / 34.4870,Normal,Last Reading: 34.4870 - 11/30/2022 11:49:26 AM,11/30/2022 11:49:49 AM,Connected,Magno Grid - E212,01.00.03
00AA0155,Initial/Latest kWh 0 / 29.2980,Normal,Last Reading: 29.2980 - 11/30/2022 10:08:21 AM,11/30/2022 10:08:45 AM,Connected,Magno Grid - E212,01.00.03
00AA0157,Initial/Latest kWh 0 / 52.0530,Normal,Last Reading: 52.0530 - 12/1/2022 7:41:33 AM,12/1/2022 7:41:55 AM,Connected,Magno Grid - E212,01.00.03
00AA0159,Initial/Latest kWh 0 / 16.8620,Normal,Last Reading: 16.8620 - 11/30/2022 6:58:10 AM,11/30/2022 6:58:33 AM,Connected,Magno Grid - E212,01.00.03
00AA015B,Initial/Latest kWh 0 / 17.0460,Normal,Last Reading: 17.0460 - 12/1/2022 6:27:23 AM,12/1/2022 6:27:46 AM,Connected,Magno Grid - E212,01.00.03
00AA015E,Initial/Latest kWh 0 / 17.7350,Normal,Last Reading: 17.7350 - 12/1/2022 5:46:11 AM,12/1/2022 5:46:31 AM,Connected,Magno Grid - E212,01.00.03
00AA0160,Initial/Latest kWh 0 / 20.9950,Normal,Last Reading: 20.9950 - 12/1/2022 5:27:49 AM,12/1/2022 5:28:08 AM,Connected,Magno Grid - E212,01.00.03
00AA0162,Initial/Latest kWh 0 / 16.9770,Normal,Last Reading: 16.9770 - 12/1/2022 6:51:22 AM,12/1/2022 6:51:42 AM,Connected,Magno Grid - E212,01.00.03
00AA019C,Initial/Latest kWh 0 / 15.4730,Normal,Last Reading: 15.4730 - 12/1/2022 9:19:43 AM,12/1/2022 9:20:09 AM,Connected,Magno Grid - E212,01.00.03
00AA01A0,Initial/Latest kWh 0 / 17.5880,Normal,Last Reading: 17.5880 - 12/1/2022 9:04:02 AM,12/1/2022 9:04:29 AM,Connected,Magno Grid - E212,01.00.03
00AA01A2,Initial/Latest kWh 0 / 28.9730,Normal,Last Reading: 28.9730 - 12/1/2022 8:27:48 AM,12/1/2022 8:28:18 AM,Connected,Magno Grid - E212,01.00.03
00AA01A7,Initial/Latest kWh 0 / 17.2720,Normal,Last Reading: 17.2720 - 12/1/2022 4:51:49 AM,12/1/2022 4:52:12 AM,Connected,Magno Grid - E212,01.00.03
00AA01A9,Initial/Latest kWh 0 / 25.0080,Normal,Last Reading: 25.0080 - 12/1/2022 3:17:44 AM,12/1/2022 3:18:01 AM,Connected,Magno Grid - E212,01.00.03
